UTC time	2708_pm1	2708_pm25	2708_pm10	2708_temperature	2708_humidity	2708_pressure
2018-03-09T20:00:00Z	30.240000	51.264000	79.695000	3.106250	90.964861	100821.404022
2018-03-09T21:00:00Z	50.352000	102.304000	190.800000	2.541667	90.010929	100854.654022
2018-03-09T22:00:00Z	36.796800	69.177600	116.328000	2.187500	89.147310	100886.854022
2018-03-09T23:00:00Z	47.732571	85.824000	140.425714	1.328571	90.677846	100898.511165
2018-03-10T00:00:00Z	53.461333	91.173333	146.233333	1.302778	91.094251	100924.654022
2018-03-10T01:00:00Z	28.272000	46.304000	71.713333	-0.120000	100.000000	100952.876244
2018-03-10T02:00:00Z	28.554667	47.525333	73.346667	-0.577778	97.333333	100978.209578
2018-03-10T03:00:00Z	37.386000	60.696000	92.692500	-1.753125	100.000000	100993.029022
2018-03-10T04:00:00Z	48.053333	78.192000	123.933333	-1.505556	96.656409	100991.098467
2018-03-10T05:00:00Z	63.914667	110.288000	179.873333	-2.002778	100.000000	100993.765133
2018-03-10T06:00:00Z	55.994667	90.672000	140.993333	-0.369444	95.110572	101038.542911
2018-03-10T07:00:00Z	71.034667	119.397333	192.393333	1.030556	94.271668	101066.209578
2018-03-10T08:00:00Z	83.066667	151.424000	255.700000	2.269444	94.360146	101074.098467
2018-03-10T09:00:00Z	26.432000	45.141333	70.926667	4.936111	84.790834	101093.654022
2018-03-10T10:00:00Z	14.340000	22.878000	36.802500	6.878125	80.425133	101089.904022
2018-03-10T11:00:00Z	12.645333	20.618667	32.446667	7.930556	75.223019	101073.654022
2018-03-10T12:00:00Z	19.392000	32.430000	50.347500	8.753125	92.327039	101045.279022
2018-03-10T13:00:00Z	15.112000	24.568000	39.480000	9.341667	69.942943	100980.154022
2018-03-10T14:00:00Z	18.336000	31.226667	48.653333	9.302778	63.250740	100948.876244
2018-03-10T15:00:00Z	18.922667	32.000000	49.926667	9.183333	65.899587	100911.431800
2018-03-10T16:00:00Z	23.781333	40.741333	62.173333	8.730556	69.106624	100895.542911
2018-03-10T17:00:00Z	35.652000	62.892000	100.957500	8.096875	71.255128	100888.279022
2018-03-10T18:00:00Z	26.816000	46.613333	72.073333	7.488889	73.373442	100889.542911
2018-03-10T19:00:00Z	28.304000	50.554667	80.006667	6.686111	78.502670	100860.098467
2018-03-10T20:00:00Z	19.861333	34.058667	52.873333	6.700000	78.540469	100825.320689
2018-03-10T21:00:00Z	20.437333	35.061333	54.840000	6.577778	78.995429	100795.876244
2018-03-10T22:00:00Z	21.006000	36.618000	56.527500	6.443750	78.477241	100749.154022
2018-03-10T23:00:00Z	21.854400	37.958400	57.810000	6.390000	78.319140	100704.654022
2018-03-11T00:00:00Z	20.485333	34.805333	54.280000	6.161111	80.809058	100666.320689
2018-03-11T01:00:00Z	19.562667	32.901333	52.340000	6.911111	72.542082	100650.098467
2018-03-11T02:00:00Z	22.554000	37.944000	57.457500	6.593750	78.918051	100624.029022
2018-03-11T03:00:00Z	23.370667	38.976000	58.526667	6.513889	79.501677	100598.987356
2018-03-11T04:00:00Z	26.336000	44.026667	66.046667	5.613889	85.362140	100560.431800
2018-03-11T05:00:00Z	30.074667	49.712000	74.113333	5.552778	85.512337	100548.765133
2018-03-11T06:00:00Z	29.781333	49.589333	75.413333	4.866667	89.538226	100552.987356
2018-03-11T07:00:00Z	42.789333	70.645333	106.860000	5.344444	89.072710	100567.987356
2018-03-11T08:00:00Z	47.658667	81.722667	129.666667	7.044444	85.320084	100594.876244
2018-03-11T09:00:00Z	37.205333	61.584000	91.953333	10.005556	72.431051	100604.876244
2018-03-11T10:00:00Z	31.642667	52.832000	78.453333	13.147222	66.575800	100593.431800
2018-03-11T11:00:00Z	26.554667	43.845333	62.653333	15.547222	61.235946	100582.320689
